site,country,vegtype,lat,lon,n_obs,albedo_modis,albedo_insitu
AU Tum,Australia,EBF,− 35.66,148.15,733,0.11,0.11
AU Wac,Australia,EBF,− 37.43,145.19,275,0.09,0.1
BR Cax,Brazil,EBF,− 1.72,− 51.46,67,0.12,0.12
BR Sa3,Brazil,EBF,− 3.02,− 54.97,79,0.13,0.12
BW Ghg,Botswana,SAV,− 21.51,21.74,28,0.16,0.18
BW Ghm,Botswana,WSA,− 21.2,21.75,28,0.18,0.17
BW Ma1,Botswana,WSA,− 19.92,23.56,252,0.16,0.14
CA Ca1,Canada,ENF,49.87,− 125.33,580,0.09,0.09
CA Ca3,Canada,ENF,49.53,− 124.9,552,0.13,0.14
CA NS6,Canada,OSH,55.92,− 98.96,353,0.1,0.12
CA SF2,Canada,ENF,54.25,− 105.88,363,0.11,0.11
CA SF3,Canada,ENF,54.09,− 106.01,362,0.1,0.1
CA WP1,Canada,MF,54.95,− 112.47,353,0.11,0.13
CZ BK1,Czech Republic,ENF,49.5,18.54,148,0.09,0.1
DE Geb,Germany,CRO,51.1,10.91,328,0.17,0.18
DE Hai,Germany,DBF,51.08,10.45,451,0.13,0.13
DE Kli,Germany,CRO,50.89,13.52,256,0.16,0.19
DE Tha,Germany,ENF,50.96,13.57,477,0.1,0.07
DE Wet,Germany,ENF,50.45,11.46,375,0.07,0.05
ES ES2,Spain,CRO,39.28,− 0.32,298,0.14,0.13
ES LMa,Spain,SAV,39.94,− 5.77,455,0.16,0.19
FR Fon,France,DBF,48.48,2.78,162,0.14,0.13
FR Hes,France,DBF,48.67,7.07,474,0.15,0.14
FR Pue,France,EBF,43.74,3.6,401,0.11,0.12
GF Guy,French Guyana,EBF,5.28,− 52.93,216,0.12,0.1
HU Bug,Hungary,GRA,46.69,19.6,523,0.16,0.2
IE Dri,Ireland,GRA,51.99,− 8.75,160,0.2,0.22
IT Bon,Italy,ENF,39.48,16.54,174,0.1,0.08
IT Col,Italy,DBF,41.85,13.59,183,0.14,0.15
IT SRo,Italy,ENF,43.73,10.28,512,0.08,0.09
JP Mas,Japan,CRO,36.05,140.03,177,0.12,0.13
KR Kw1,Korea,MF,37.75,127.16,216,0.09,0.09
NL Ca1,Netherlands,GRA,51.97,4.93,369,0.17,0.22
NL Lan,Netherlands,CRO,51.95,4.9,108,0.17,0.18
NL Loo,Netherlands,ENF,52.17,5.74,404,0.11,0.09
PT Esp,Portugal,EBF,38.64,− 8.6,437,0.13,0.11
RU Che,Russia,MF,68.61,161.34,104,0.15,0.16
SE Nor,Sweden,ENF,60.09,17.48,234,0.1,0.09
UK Gri,UK,ENF,56.61,− 3.8,15,0.1,0.09
US Aud,USA,GRA,31.59,− 110.51,1244,0.18,0.21
US Bn1,USA,ENF,63.92,− 145.38,104,0.11,0.09
US Bo1,USA,CRO,40.01,− 88.29,721,0.16,0.19
US Bo2,USA,CRO,40.01,− 88.29,289,0.16,0.19
US Fmf,USA,ENF,35.14,− 111.73,247,0.1,0.12
US FPe,USA,GRA,48.31,− 105.1,775,0.15,0.16
US Fuf,USA,ENF,35.09,− 111.76,231,0.1,0.13
US IB1,USA,CRO,41.86,− 88.22,349,0.15,0.16
US Ivo,USA,WET,68.49,− 155.75,62,0.18,0.19
US MMS,USA,DBF,39.32,− 86.41,639,0.13,0.13
US MOz,USA,DBF,38.74,− 92.2,563,0.12,0.11
US SRM,USA,WSA,31.82,− 110.87,826,0.17,0.16
US WCr,USA,DBF,45.81,− 90.08,487,0.14,0.15
ZA Kru,South Africa,SAV,− 25.02,31.5,447,0.15,0.15
