year,e_ff,e_luc,g_atm,s_ocean,s_land,s_cement,imbalance
1959,2.416665456,2.121526667,2.03904,0.9924198,0.430358952,0.012542147,1.063831224
1960,2.561796211,1.864403333,1.50804,0.936514292,1.25234663,0.013682051,0.715616571
1961,2.569427515,1.787483333,1.65672,0.839508784,0.899619515,0.014547674,0.946514876
1962,2.660086233,1.657756667,1.18944,0.923603275,1.293962035,0.015679867,0.895157723
1963,2.801868781,1.604056667,1.21068,1.111697767,0.959731798,0.016652984,1.107162898
1964,2.954044224,1.565253333,1.04076,1.229492259,1.644886173,0.018219985,0.585939141
1965,3.086705587,1.42073,2.3364,1.337886751,0.366636244,0.01923258,0.447280012
1966,3.237365852,1.374056667,2.3364,1.268381242,1.563293953,0.020642783,-0.57729546
1967,3.339609301,1.411203333,1.29564,1.110075734,1.730972744,0.021656588,0.592467568
1968,3.52192569,1.428043333,2.10276,1.200970226,2.4856318,0.023209644,-0.862602647
1969,3.75568761,1.340483333,2.80368,1.299864718,0.765601269,0.024631991,0.202392965
1970,4.066090712,1.395793333,2.40012,1.113059209,0.774795185,0.02612931,1.147780341
1971,4.231109638,1.315316667,1.55052,1.229253701,2.306640669,0.027599823,0.432412111
1972,4.42779468,1.31611,3.12228,1.531248193,1.253937953,0.030070061,-0.193631526
1973,4.662527456,1.281466667,3.10104,1.371942685,1.686948679,0.032169588,-0.24810683
1974,4.642298615,1.245676667,1.44432,1.318637176,3.765889699,0.032925987,-0.673797581
1975,4.653378644,1.258953333,2.61252,1.238031668,2.522553245,0.033594479,-0.494367415
1976,4.908636736,1.252953333,2.06028,1.44052616,2.997899716,0.035521518,-0.372637324
1977,5.047666914,1.253063333,4.07808,1.530920652,1.417101717,0.037886836,-0.763258957
1978,5.203044493,1.216276667,2.73996,1.555515143,2.538517653,0.040505965,-0.455177602
1979,5.350164359,1.154373333,4.54536,1.525009635,1.165996657,0.041960836,-0.773789436
1980,5.317259993,1.20265,3.63204,1.788404127,0.442966614,0.043189286,0.613309966
1981,5.190215328,1.270446667,2.4426,1.762898619,2.174755512,0.044043595,0.036364269
1982,5.148846395,1.27638,2.124,1.94709311,1.620518848,0.044840545,0.688773891
1983,5.181741625,1.40821,3.88692,2.098487602,0.359767066,0.046303653,0.198473303
1984,5.360733803,1.628533333,2.61252,1.874082094,2.841700739,0.047709806,-0.386745502
1985,5.541793264,1.502266667,3.5046,1.766976586,2.650944873,0.049042438,-0.927503966
1986,5.62432119,1.553716667,2.16648,1.834271078,2.435813351,0.051366814,0.690106615
1987,5.79852154,1.505066667,5.6286,1.988565569,0.636851694,0.053740675,-1.004169732
1988,6.025487138,1.44615,4.58784,1.809060061,2.096901296,0.056903743,-1.079067962
1989,6.107797353,1.430363333,3.10104,1.846454553,3.552275667,0.056755168,-1.018364701
1990,6.20979811,1.41018,2.59128,2.008756579,2.365148815,0.056125968,0.598666747
1991,6.339922251,1.350036667,1.593,2.139805427,2.143846033,0.05952743,1.753780028
1992,6.159170024,1.42552,1.52928,2.301725826,2.44388355,0.060295293,1.249505355
1993,6.222257178,1.399853333,2.61252,2.245826043,2.996492445,0.064402526,-0.297130502
1994,6.286783591,1.576536667,3.52584,2.034234618,1.480194982,0.067875021,0.755175638
1995,6.420439935,1.53916,4.248,2.033206139,1.839646751,0.071508705,-0.23276166
1996,6.618494234,1.63682,2.2302,2.028526559,3.416528128,0.074213619,0.505845928
1997,6.658283437,2.041756667,4.18428,2.200500515,3.286812253,0.076982567,-1.048535231
1998,6.640541938,1.682623333,6.03216,2.240400205,1.520810703,0.077747163,-1.547952799
1999,6.777700499,1.638646667,2.82492,1.996638796,3.551686017,0.080512527,-0.037410174
2000,6.959958454,1.467156667,2.655,1.936719566,3.816066037,0.083536938,-0.06420742
2001,7.007349984,1.3745,3.90816,1.837084719,2.548707065,0.086109401,0.001788799
2002,7.163834459,1.469753333,5.03388,2.237809127,1.29389719,0.090522969,-0.022521493
2003,7.54602874,1.592123333,4.86396,2.343089908,2.557056323,0.097275016,-0.723229173
2004,7.811187939,1.47211,3.31344,2.303435164,3.601998724,0.104064894,-0.039640841
2005,8.076447289,1.335126667,5.24628,2.336899474,2.015976151,0.111160968,-0.298742637
2006,8.353102395,1.428686667,3.75948,2.445972109,3.238899246,0.121018477,0.216419228
2007,8.597088978,1.24346,4.50288,2.377707296,2.892153592,0.130367979,-0.062559888
2008,8.745060733,1.293883333,3.75948,2.401370364,3.624921191,0.134660751,0.118511761
2009,8.595323847,1.42908,3.35592,2.559065859,2.998521825,0.141512386,0.969383778
2010,9.090155017,1.413076667,5.14008,2.51828282,3.344808578,0.150279147,-0.650218862
2011,9.39860004,1.424126667,3.56832,2.556846706,4.132666979,0.162719085,0.402173936
2012,9.534785309,1.45884,5.11884,2.617698426,2.591914894,0.169239681,0.495932308
2013,9.61584801,1.326086667,5.2038,2.649486241,3.639193355,0.177229223,-0.727774143
2014,9.679638329,1.423113333,4.33296,2.785954224,3.856130914,0.184932111,-0.057225586
2015,9.678824989,1.536643333,6.2658,2.849992191,2.277525489,0.185938922,-0.363788278
2016,9.677954599,1.255183333,6.03216,2.969237041,2.939957047,0.188003953,-1.196220108
2017,9.832273843,1.245903333,4.54536,2.830498102,3.729804319,0.192072616,-0.21955786
2018,10.03464659,1.169526667,5.07636,2.907491374,3.604710237,0.198195623,-0.582583977
2019,10.10919852,1.25478,5.31,2.955931523,3.009866407,0.201583196,-0.113402602
2020,9.554513897,1.172266667,4.97016,2.91436547,3.110043659,0.206857741,-0.474646305
2021,10.04818298,1.17947,5.2038,2.825585012,3.542676978,0.216462506,-0.560871516
2022,10.13913339,1.176296667,4.63032,2.779694058,3.780125554,0.217464615,-0.092174172
