Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1750,0.00253983,,,,0.266305034,,
1751,0.002567475,,-0.07434,,-0.385741218,,
1752,0.002594205,,-0.0707292,,-0.18020005,,
1753,0.00262295,,-0.0677556,,-0.121224943,,
1754,0.002656545,,-0.0641448,,-0.112946252,,
1755,0.00267289,,-0.05841,,-0.247419087,,
1756,0.002704671,,-0.0503388,,0.170963041,,
1757,0.002754895,,-0.0405684,,0.552669539,,
1758,0.002788307,,-0.0282492,,-0.12738819,,
1759,0.00282174,,-0.0144432,,-0.386265443,,
1760,0.002869632,,0.0019116,,0.080870483,,
1761,0.002933375,,0.020178,,-0.393366124,,
1762,0.002989137,,0.0405684,,-0.269937335,,
1763,0.003054474,,0.0628704,,0.398344858,,
1764,0.00311053,,0.0875088,,0.155147695,,
1765,0.003177807,,0.112572,,-0.283668173,,
1766,0.003241288,,0.1357236,,0.370877263,,
1767,0.003316733,,0.156114,,0.063946442,,
1768,0.003402548,,0.1748052,,0.081461699,,
1769,0.003488011,,0.19116,,0.128224284,,
1770,0.003574568,,0.204966,,0.247412152,,
1771,0.003648878,,0.216648,,-0.370952305,,
1772,0.003718206,,0.2264184,,-0.111357547,,
1773,0.003768597,,0.23364,,-0.093533109,,
1774,0.003824349,,0.2387376,,0.071247962,,
1775,0.003913461,,0.2429856,,-0.196685873,,
1776,0.003999488,,0.2489328,,0.256878041,,
1777,0.004082843,,0.257004,,0.671170125,,
1778,0.004160339,,0.266562,,-0.010008418,,
1779,0.004239966,,0.278244,,-0.17799148,,
1780,0.004333713,,0.29205,,0.354531866,,
1781,0.004430781,,0.315414,0.07433,-0.215975495,,
1782,0.00452537,,0.3489732,0.082155,-0.153613092,,
1783,0.004656864,,0.3795588,0.08952,0.5824709,,
1784,0.004768311,,0.406746,0.10207,0.329339163,,
1785,0.004903146,,0.4303224,0.104205,-0.156136547,,
1786,0.005034797,,0.450288,0.11673,0.520618584,,
1787,0.005147142,,0.4666428,0.12393,0.287294749,,
1788,0.005263709,,0.4795992,0.131105,0.236192892,,
1789,0.00542124,,0.4889448,0.13301,0.272270993,,
1790,0.005567165,,0.4944672,0.14019,0.523768308,,
1791,0.005712814,,0.4968036,0.147095,-0.136821836,,
1792,0.005985048,,0.4953168,0.14901,0.070645691,,
1793,0.006085497,,0.4902192,0.15568,0.149413375,,
1794,0.006146194,,0.4817232,0.15749,0.182794661,,
1795,0.006090406,,0.4698288,0.163805,0.038419096,,
1796,0.006037493,,0.455598,0.164995,0.43617067,,
1797,0.006028951,,0.4400928,0.1658,0.854214686,,
1798,0.006306203,,0.4228884,0.16673,0.206565428,,
1799,0.007501421,,0.4027104,0.167235,-0.030403821,,
1800,0.008951515,,0.381258,0.17277,0.489256603,,
1801,0.008729817,,0.3623544,0.173235,-0.029041003,,
1802,0.011001767,,0.343026,0.173365,-0.064132258,,
1803,0.008061819,,0.3224232,0.17367,0.688160901,,
1804,0.008670627,,0.3009708,0.17359,0.505503878,,
1805,0.008529426,,0.2778192,0.17356,-0.003301513,,
1806,0.008925934,,0.253818,0.173505,0.620349811,,
1807,0.009880091,,0.2287548,0.173135,0.441960091,,
1808,0.009688261,,0.2022048,0.17295,0.286520255,,
1809,0.009916434,,0.1748052,0.17259,0.395849133,,
1810,0.010778469,,0.1459188,0.17252,0.560827707,,
1811,0.010965251,,0.1159704,0.16692,-0.084312561,,
1812,0.011139335,,0.08496,0.16627,0.148772175,,
1813,0.011246217,,0.0526752,0.165735,0.218418705,,
1814,0.01152474,,0.0193284,0.16021,0.219308608,,
1815,0.011896088,,-0.0146556,0.15963,0.057950125,,
1816,0.012417188,,-0.0443916,0.15875,0.309141966,,
1817,0.013448669,,-0.0677556,0.15806,0.784136379,,
1818,0.014026204,,-0.08496,0.15751,0.076391556,,
1819,0.013900155,,-0.0957924,0.15205,-0.112154155,,
1820,0.013846363,,-0.1000404,0.15117,0.380285394,,
1821,0.014208338,,-0.0983412,0.15066,-0.093125193,,
1822,0.014743917,,-0.0898452,0.149595,-0.15724063,,
1823,0.015381486,,-0.0756144,0.144045,0.588169455,,
1824,0.015716058,,-0.0545868,0.14338,0.371431531,,
1825,0.016575018,,-0.0271872,0.14237,-0.050098723,,
1826,0.016752765,,0.0061596,0.14153,0.491405065,,
1827,0.017941749,,0.0431172,0.1408,0.275076039,,
1828,0.018199178,,0.0683928,0.140145,0.220220086,,
1829,0.018097,,0.0883584,0.13505,0.24319264,,
1830,0.024287254,,0.1066248,0.13455,0.445601734,,
1831,0.022721317,,0.1225548,0.134,-0.222412421,,
1832,0.022404954,,0.1367856,0.13352,0.051145274,,
1833,0.022720782,,0.1488924,0.13358,0.08168169,,
1834,0.02422574,,0.1609992,0.1337,0.204356389,,
1835,0.026582859,,0.1796904,0.133975,-0.07241475,,
1836,0.029174262,,0.2056032,0.13412,0.290142608,,
1837,0.028984558,,0.2374632,0.134745,0.775632742,,
1838,0.028887899,,0.2746332,0.13561,0.074192069,,
